"","sample01","sample02","sample03","sample04","sample05","sample06","sample07","sample08","sample09","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71"
"C2",20,20,20,20,20,54.28,29.26,46.52,76.53,55.01,74.12,53.06,42.98,105.68,98.79,146.59,82.66,90.4,180.72,170.64,96.77,41.66,120.81,106.76,104.01,33.19,68.48,20,20,20,20,20,20,85.57,153.26,119.18,114.99,124.33,139.99,62.8,131.73,94.13,115.27,55.47,174.68,110.6,20,22.98,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30.96,20,20,20,20,20,20
"C3",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,56.72,20,20,48.38,20,81.66,57.79,35.32,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.87,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"C3AR1",46.91,47.82,49.39,71.13,35.77,50.41,41.22,75.03,80.26,55.01,83.68,53.06,84.54,83.96,75.03,72.01,118.54,116.99,153.48,111.02,119.48,121.85,159.97,105.78,88.31,62.06,69.85,36.45,30.91,20,25.6,20,24.38,118.69,149.08,160.21,114.99,51.61,103.15,214.1,142.09,169.43,146.12,134.48,171.16,58.35,165.19,191.92,162.18,95.71,167.2,116.66,181.06,74.41,20,93.21,43.32,67.41,58.61,20,31.55,119.44,77.34,72.08,55.47,39.35,51.73,60.82,38.35,39.33,35.78
"C4A",29.97,41.15,38.16,48.9,42.69,81.42,67.82,58.52,72.8,66.9,102.81,100.22,63.04,130.29,96.29,246.88,307.26,203.84,509.96,415.29,182.67,129.14,176.74,173.37,186.43,53.4,115.05,54.67,43.8,44.36,41.14,45.81,46.44,195.97,275.87,410.3,552.67,337.82,318.3,66.61,205.74,125.79,300.35,47.07,158.48,151.53,46.98,40.22,44.34,45.86,55.73,50.9,43.51,35.31,37.92,57.01,20,36.38,35.41,20,23.66,62.56,20,38.16,41.28,20,35.04,20,20,46.05,31.69
"C4B",20,22.24,22.45,20,20,69.79,33.24,20,67.2,35.68,72.92,49.52,41.55,57.91,50.02,277.74,290.1,228.66,405.99,411.18,128.36,118.73,222.61,200.8,199.18,43.29,130.11,25.51,20,32.12,32,32.95,32.51,215.3,292.59,468.92,697.33,380.04,369.88,50.43,244.22,104.4,331.2,55.47,194.4,207.27,37.89,20,32.67,20,46.12,63.63,20,20,20,23.53,45.29,20,20,20,20,20,20,20,20,33.06,20,20,22.56,20,24.54
"C4BPA",559.07,20,20,422.33,512.28,604.86,20,20,477.84,630.38,606.08,20,20,470.49,566.49,261.02,20,288.92,319.35,263.15,68.13,124.98,743.89,452.52,170.73,57.73,28.76,264.6,20,20,20,20,478.36,331.22,125.39,20,20,20,20,177.94,102.13,20,20,20,20,50.51,384.93,20,20,20,20,755.08,20,20,20,20,315.05,20,20,20,20,237.74,20,20,20,20,422.17,20,20,20,20
"C5",2765.35,1632.67,1780.26,2046.06,2506.02,2142.23,2630.3,1985.19,2056.94,2546.79,1426.15,1763.92,1596.17,1740.1,1818.26,1942.9,1129.22,1513.74,1116.48,855.25,724.76,446.79,429.56,468.2,157.97,154.42,739.59,779.95,852.74,2972.06,803.56,592.31,1551.2,979.87,812.27,410.3,178.04,356.58,433.25,557.61,401.12,335.44,112.02,154.65,88.04,448.51,459.19,341.31,158.68,137.58,130.69,250.28,484.92,262.33,314.23,155.65,2276.23,1730.08,832.82,4930.72,2845.31,3105.45,2721.68,1393.47,2418.1,2664.89,4877.52,2059.89,1531.77,4110.69,2450.51
"C5aR1",99.04,272.48,81.94,193.38,86.53,133.77,186.17,265.59,233.32,83.26,184.1,232.28,136.12,244.66,182.58,286.74,534.97,639.88,868.92,400.9,696.12,246.83,639.86,413.34,969.43,178.95,509.5,136.31,146.85,232.5,121.59,172.79,352.97,513.4,398.47,748.32,482.2,677.98,667.55,135.12,460.32,220.77,310.91,68.92,148.62,559.98,83.35,132.16,281.19,45.86,78.8,139.99,127.72,329.18,135.44,114.02,220.53,95.22,122.11,54.14,79.86,110.34,89.55,94.69,105.13,62.96,118.48,109.86,68.81,109.36,67.47
"C6",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,58.49,20,20,20,20,54.81,39.18,25.51,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"C7",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,72.67,20,20,35.55,23.95,129.76,105.78,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.7,20,20,20,20,20,20,20,20,20,20
"C8A",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"C8B",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,104.58,20,20,23.7,20,92.85,58.77,39.25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"C8G",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.68,20,20,20,20,20,20,20,20,20,20
"C9",40.4,33.37,29.18,24.45,20,89.18,34.57,20,42.93,38.66,28.69,20,32.96,28.95,20,20,20,76.22,74.27,45.23,38.51,20,95.08,77.38,42.19,21.65,36.98,20,20,32.12,20.11,20,23.22,20,20,20,92.73,51.61,20,25.69,44.4,20,20,60.52,20,32.22,37.89,32.18,26.84,67.8,40.36,80.6,20,37.84,54.18,22.62,49.23,21.4,30.53,29.26,20,20,20,35.33,20,36.2,48.39,58.85,34.97,23.98,25.56
"CAMP",178.54,405.94,90.92,253.4,176.53,191.93,226.06,201.07,209.05,84.74,249.85,275.91,83.1,348.89,183.83,484.76,1746.86,1637.81,2250.28,1379.5,1018.02,601.97,793.11,676.83,1305.98,138.54,1406.6,233.26,420.79,943.78,253.23,406.66,827.85,2023.22,913.98,1836.6,2236.65,1860.33,1122.9,122.75,528.41,219.92,433.48,63.88,81,561.72,156.09,265.47,232.19,121.63,153.75,205.74,440.71,220.71,126.41,142.98,1795.78,554.22,333.37,134.61,471.26,515.3,210.3,224.71,118.68,147.96,415.5,217.76,113.92,124.71,103.25
"CARD9",37.79,40.04,26.94,65.57,56.54,56.22,63.83,49.52,100.79,80.28,60.97,62.49,73.07,123.05,103.79,57.86,65.51,54.95,118.83,71.96,50.36,31.24,59.29,48.97,54.95,21.65,73.96,49.57,50.67,39.77,44.79,45.81,35.99,77.29,126.79,115.28,144.66,91.49,84,52.34,76.97,83.86,85.24,60.52,105.65,54.87,20,37.92,37.34,20,20,20,20,20,20,20,41.35,34.24,20,20,20,38.68,31.21,48.05,50.95,31.48,20,20,20,32.62,23.51
"CASP1",607.28,519.39,413.07,639.05,526.13,2136.41,1860.36,2045.21,2478.78,1806.4,2656.25,2726.05,1372.65,3745.12,2702.38,2619.25,3571.7,2775.77,3101.87,3464.17,1713.15,1318.5,1812.19,1408.5,1270.66,491.39,1428.51,419.86,415.63,312.04,326.36,396.21,411.02,3872.55,3201.72,3628.26,3182.5,3387.54,2267.91,729.84,2044.08,1070.49,888.89,484.12,1203.73,1018.94,325.83,530.93,514.55,273.17,399.75,279.97,482.12,220.71,223.93,376.46,387.9,395.87,333.37,209.23,261.26,845.18,419.24,373.1,669.51,498.98,453.88,329.58,311.32,585.19,399.73
"CASP10",215.03,308.07,248.07,266.73,223.83,250.09,319.15,315.11,373.31,318.16,349.07,486.96,273.67,542.88,356.4,351.03,580.21,483.9,507.49,538.64,196.49,291.61,246.1,200.8,375.8,213.59,271.18,344.05,200.95,113.19,301.68,270.84,185.77,339.5,422.16,412.26,456.23,469.19,533.45,258.82,298.99,219.92,225.67,371.5,293.01,246.46,260.66,239.04,231.02,317.04,240.23,235.43,202.11,174.05,214.91,202.71,106.33,128.39,101.35,136.07,125.21,144.47,115.33,165.35,236.07,125.92,150.18,127.52,145.51,181.31,140.06
"CASP2",145.96,211.31,136.94,124.48,164.99,106.63,184.84,102.04,106.39,124.89,142.26,170.97,117.49,134.63,147.56,156.87,168.45,113.44,148.53,141.86,79.98,211.42,112.98,100.89,131.48,200.6,127.37,95.49,100.47,71.89,118.84,107.69,78.95,104.89,122.61,87.92,89.02,164.22,151.78,132.27,103.61,123.22,161.54,203.4,161.3,105.38,136.39,118.37,154.01,207.37,169.12,127.26,75.09,79.46,111.97,144.79,66.95,83.45,61.06,103.88,82.82,84.18,86.83,151.22,161.25,105.46,83.43,78.47,101.52,104.57,107.34
"CASP3",647.68,728.47,472.57,1253.65,1018.79,463.34,542.55,714.25,1007.94,1106.14,832.02,721.6,477.13,1127.73,1169.24,1118.68,1380.33,1416.25,2277.51,1317.83,1385.33,772.77,1528.06,1144.04,1190.2,454.59,1031.32,654.57,644.06,498.66,537.54,487.03,867.33,1266.93,927.91,1271.94,1750.75,1489.67,990.28,572.84,1463.86,804.37,852.36,579.94,526.85,1347.26,581.94,611.38,729.24,745.75,549.65,629.94,647.73,619.26,725.98,575.55,358.37,313.49,296.74,239.95,236.62,684.79,370.4,609.11,606.94,387.22,472.23,355.09,400.43,508.44,417.11
"CASP8",1137.68,1482.53,993.4,1021.37,1023.41,874.34,1041.22,1024.86,853.02,872.72,1379.53,1574.08,775.16,1229.07,1225.51,1371.99,1718.78,1380.8,1445.73,1252.04,1075.28,1156.03,1366.98,966.76,1131.33,583.75,954.62,1067.15,881.07,749.52,1000.11,1140.42,855.72,1070.96,983.65,1137.13,1005.2,1637.47,1212.79,658.47,830.36,728.21,769.56,921.18,754.36,733.29,641.05,588.39,771.24,853.42,653.43,610.85,498.96,485.57,682.64,642.52,354.43,426.9,363.9,368.71,416.05,580.14,500.65,662.82,766.9,530.46,615.74,502.22,565.11,669.61,638.95
"CCBP2",20,20,22.45,27.78,28.84,20,29.26,20,20,20,20,20,31.52,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35.18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,49.83,52.97,20,20,57.1,47.08,50.07,48.28,43.38,20,33.92,20,20,20,20,20,36.09,31.66,20
"CCL1",20,20,20,20,20,44.59,20,20,20,20,20,20,20,20,20,27,20,79.76,54.46,20,40.48,20,97.32,99.91,53.97,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,36.2,20,20,20,20,20.45
"CCL11",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCL13",20,20,20,22.23,23.08,20,20,20,20,20,20,20,20,20,28.76,20,20,20,20,20,20,20,50.34,36.24,33.36,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,39.88,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCL15",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,38.03,27.43,42.19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.03,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCL16",20,20,20,20,20,20,20,20,20,20,20,20,28.66,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,33.65,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.4,26.87,32.19,20,20,20,20,20,20,20,20,24.82,20,20
"CCL17",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35.87,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCL18",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCL19",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.72,37.43,20,20,41.12,29.62,20,29.08,28.41,24.53,20,42.46,20,20,20,20,20,20,63.48,20,42.98,20,20,20,20,29.6,20,20,20,20,27.87,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCL2",20,31.14,20,43.34,20,20,31.91,20,20,37.17,27.49,28.3,20,33.3,45.02,97.72,59.27,152.44,20,76.07,270.55,58.32,108.51,111.66,113.82,209.98,45.2,20,20,20,20,20,20,91.09,40.4,125.05,155.79,46.92,38.31,20,72.53,33.37,33.28,35.3,20,51.38,20,20,23.34,20,20,20,20,20,20,20,47.26,20,20,20,20,38.68,20,20,20,20,33.37,20,20,20,20
"CCL20",20,20,20,20,20,42.65,34.57,20,20,20,20,20,20,20,20,20,20,51.4,20,20,44.43,20,23.49,20,27.47,43.29,27.39,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,43.71,20,20,20,20,20,20,44.2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,34.63,20,20,20,20,20
"CCL21",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.08,31.34,27.47,20,31.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,31.48,20,20,20,20,20
"CCL22",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32.44,34.28,23.55,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.24,20,20,22.54,20,20,20,23.34,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCL23",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,33.56,32.32,32.38,20,36.98,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCL24",20,20,20,20,20,20,20,31.51,20,20,20,20,20,20,20,20,20,20,51.99,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCL26",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCL3",31.28,20,26.94,20,20,20,20,31.51,20,20,32.28,20,20,20,20,65.58,45.23,79.76,59.41,20,205.38,61.45,71.59,66.61,114.8,205.65,72.59,25.51,20,42.83,20,27.33,20,20,37.62,76.2,20,20,53.05,31.4,59.21,51.34,25.16,20,26.77,60.09,20,41.37,20,20,20,20,25.97,20,20,20,20,32.1,20,20,20,20,20,20,20,20,20,20,20,20.15,20
"CCL4",20,24.47,20,24.45,25.38,20,20,20,20,20,23.91,20,20,20,20,25.72,20,44.31,20,20,20,21.87,43.63,49.95,46.12,20,20,20,20,20,23.77,20,20,20,20,20,20,20,20,20,31.08,20,20,42.02,20,24.38,20,31.03,20,47.86,20,20,22.46,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.56
"CCL5",364.89,304.74,345.72,161.15,174.22,257.84,260.64,286.6,83.99,118.94,314.4,249.97,319.52,130.29,148.81,357.46,534.97,554.8,210.42,318.66,367.31,1011.27,534.71,475.05,713.34,507.27,305.43,668.42,387.29,275.33,782.54,491.85,246.15,320.18,459.78,302.84,352.37,485.61,661.66,296.88,355.23,318.32,500.05,595.07,366.97,298.71,324.31,357.4,509.88,677.95,461.25,273.61,141.76,399.81,386.47,390.94,171.31,325.26,172.18,242.88,227.74,192.24,219.8,298.2,347.65,262.87,238.62,266.8,280.86,353.99,282.16
"CCL7",20,20,20,20,20,20,26.6,20,20,20,20,20,31.52,20,20,27,20,90.4,20,20,27.65,29.16,68.24,98.93,23.55,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,36.98,20,22.64,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,37.78,20,20,20,20,20
"CCL8",20,20,20,20,20,42.65,27.93,43.52,54.13,35.68,80.09,61.31,20,128.84,51.27,55.29,42.11,20,20,59.62,37.52,20,24.61,20,26.49,45.46,20,20,20,20,20,20,20,20,87.78,20,20,20,36.84,20,20,20,23.54,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCND3",758.45,677.31,657.77,862.44,791.5,918.93,981.38,832.79,948.21,1022.88,949.17,953.88,617.55,906.24,1111.72,948.95,1043.44,826,940.71,1101.96,734.63,840.47,850.17,842.36,1012.6,772.08,1072.41,521.91,528.13,561.37,530.22,454.88,702.45,676.25,884.72,883.13,782.64,1210.5,981.43,1051.47,1198.92,1442.73,809.33,951.44,887.48,988.46,1235.11,1072.21,987.09,943.15,968.62,1554.7,913,1412.57,1063.69,1103.14,805.34,494.31,445.72,497.46,463.37,488,450.45,626.07,568.89,511.57,767.59,559.11,533.52,571.75,572.5
"CCR1",82.1,76.74,55,120.03,94.61,188.05,136.97,250.59,339.71,233.42,278.54,264.12,118.92,453.12,302.63,303.46,330.66,542.39,601.56,532.48,288.32,148.93,238.27,185.12,168.77,43.29,194.49,53.94,54.96,74.95,56.68,35.36,96.37,563.08,419.37,633.04,552.67,337.82,369.88,108.48,352.27,130.07,102.28,112.63,106.36,221.21,62.13,97.68,92.18,79.76,40.36,74.24,75.79,37.84,39.73,33.48,78.76,34.24,31.75,20,30.56,103.51,32.56,60.77,73.53,62.96,85.1,72.59,59.78,78.66,48.05
"CCR10",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27.97,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCR2",138.14,156.82,140.31,156.71,145.38,116.32,179.52,165.06,240.79,175.44,200.83,209.88,126.09,263.48,231.35,180.02,198.08,148.89,269.84,197.37,123.43,163.51,177.86,133.21,94.2,61.33,154.77,60.5,65.26,47.42,88.68,66.71,84.76,113.17,192.27,166.08,152.08,124.33,148.84,208.39,162.82,135.2,99.04,198.36,206.37,130.63,174.28,187.32,214.69,105.68,121.08,116.66,187.37,95.85,63.21,82.35,102.39,136.95,50.07,49.75,56.2,150.15,111.26,146.98,139.32,111.76,131.82,100.05,85.72,141.02,82.81
"CCR3",92.53,204.64,104.39,205.61,153.45,96.93,115.69,87.03,102.66,93.66,74.12,153.28,55.88,94.1,88.79,81.01,165.33,177.25,222.8,96.63,218.22,152.05,237.15,147.9,206.05,33.19,398.56,80.18,66.12,74.95,85.02,37.77,123.07,212.53,48.76,140.68,166.91,166.56,38.31,133.22,99.17,141.19,91.73,139.52,62.69,168.95,245.51,196.51,184.35,169.49,134.53,220.58,330.53,187.92,146.28,170.13,141.77,87.73,106.24,54.14,54.22,218.41,115.33,185.14,109,73.98,113.47,115.75,117.31,91.14,43.96
"CCR4",126.41,240.23,184.09,210.05,259.6,131.83,307.18,174.06,153.06,270.59,166.17,253.5,117.49,195.44,262.61,93.87,230.83,115.21,143.58,199.42,36.53,52.07,57.05,54.85,56.91,28.14,28.76,111.53,133.11,104.01,164.55,118.94,65.02,60.72,93.35,101.6,114.99,258.05,106.1,55.19,68.09,70.17,56.01,237.02,69.73,22.64,66.68,66.65,57.17,201.39,82.64,82.72,55.44,74.41,220.32,89.59,51.2,46.01,58.61,111.2,79.86,70.53,75.98,105.99,158.02,144.81,95.11,94.17,131.97,129.51,162.55
"CCR5",174.63,293.61,208.78,123.36,116.53,153.15,195.48,189.07,108.26,105.56,213.98,212.24,179.1,128.84,98.79,225.02,313.5,212.7,160.91,148.02,122.44,626.97,303.15,240.95,444.49,546.23,284.88,158.91,143.41,79.54,218.49,130.2,95.21,121.45,188.09,132.86,137.24,211.13,226.94,280.71,256.06,154.88,308.47,556.4,359.92,269.1,222.78,226.39,359.37,364.9,201.8,186.65,102.46,93.33,167.95,151.13,78.76,232.18,83.04,140.46,164.65,126.27,111.26,227.53,337.33,129.07,121.81,94.17,142.12,225.44,157.44
"CCR6",56.04,67.84,49.39,77.8,70.38,38.77,49.2,49.52,46.66,90.69,45.43,42.45,41.55,43.43,42.52,20,45.23,42.54,66.84,65.79,20,20,46.98,42.12,36.3,20,30.13,28.43,37.78,20,37.48,39.38,23.22,20,33.44,20,20,58.65,38.31,29.5,20,24.82,20.29,33.62,20,21.77,20,33.33,30.34,20,40.36,78.48,21.75,46.67,50.57,48.87,20,22.47,26.87,20,25.63,28.44,31.21,57.94,27.73,36.2,51.73,20,43.99,26.86,44.98
"CCR7",62.55,130.12,62.86,86.69,119.99,54.28,105.05,76.53,72.8,83.26,49.01,69.57,40.12,56.46,75.03,42.43,168.45,58.49,118.83,224.09,66.16,57.28,68.24,69.54,121.67,36.8,41.09,115.9,141.69,134.61,188.32,130.2,80.11,66.24,78.02,138.72,107.57,225.21,139.99,35.21,37,41.07,90.11,94.13,44.37,36.58,63.65,51.71,47.84,113.66,51.89,82.72,55.44,26.49,142.67,66.06,63.01,52.43,62.28,67.3,56.2,51.19,40.7,93.28,83.2,75.55,51.73,100.05,82.34,57.56,107.34
"CCR8",39.1,52.27,44.9,20,38.07,42.65,98.4,51.02,20,52.04,41.84,84.89,38.69,30.4,58.77,52.72,54.59,319.05,146.06,69.9,178.72,256.2,652.17,443.71,179.56,158.02,50.68,21.14,21.47,20,32,43.4,20,20,32.05,20,20,84.45,41.26,40.92,34.04,33.37,51.14,144.56,103.54,27,30.31,43.67,112.01,65.8,69.19,20,22.46,26.49,37.92,39.82,20,20,20,20,24.65,20,20,31.09,29.67,45.65,36.71,20,27.07,26.86,42.94
"CCRL1",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,251.7,89.12,20,60.23,67.7,334.47,262.5,44.15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"CCRL2",209.81,152.37,138.07,450.11,199.6,721.18,493.35,873.3,918.34,679.44,783.01,696.84,323.82,1310.14,1055.44,927.09,1339.78,1538.55,1799.73,1519.3,392,252.04,352.37,285.03,243.34,41.13,280.77,129.75,167.46,168.26,66.73,157.52,329.75,1852.09,993.4,1656.85,2203.27,1581.16,1313,127.51,713.43,264.41,283.31,58.83,125.37,263.01,174.28,217.2,260.19,93.72,90.33,646.91,1340.38,1773.28,395.5,615.37,702.95,212.92,1172.29,408.21,685.2,431.12,104.47,163.94,168.34,225.09,175.21,82.4,120.69,152.53,132.9
"CD14",105.56,176.84,84.19,217.83,156.91,54.28,77.13,94.53,106.39,75.82,66.94,80.18,60.18,94.1,108.8,264.88,276.07,875.63,943.19,300.16,718.83,171.84,492.2,276.22,475.88,75.04,95.87,258.77,342.64,379.35,189.23,255.57,421.47,408.51,267.51,969.1,693.62,218.17,674.92,85.64,210.18,158.31,272.75,55.47,81.7,142.83,56.07,90.79,116.68,55.83,61.5,78.48,101.76,74.41,52.37,31.67,131.93,70.62,48.85,20,50.28,100.1,67.84,89.04,87.07,67.68,133.49,186.37,99.26,123.75,81.79
"CD160",20,23.36,20,20,20,20,20,20,37.33,20,20,20,20,20,20,30.86,20,101.03,66.84,20,42.46,27.08,148.78,131.25,35.32,20,31.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,43.71,20,21.77,20,20,25.67,20,20,20,20,20,20,20,20,20,20,20,20,20,29.85,20,20,20,20,20,20,20.15,20
"CD163",61.25,53.38,60.61,93.36,71.53,60.1,78.46,91.53,89.59,115.97,32.28,75.46,30.09,78.17,71.28,20,20,20,20,20,20,20,20,20,20,20,20,45.92,24.9,20,41.14,25.72,37.15,20,34.83,20,20,20,20,22.84,20,20,20,33.62,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,58.01,29.85,42.4,55.47,61.39,66.75,20,31.58,46.05,34.76
"CD164",589.04,665.08,633.08,594.59,512.28,897.6,1142.28,1231.93,983.67,948.54,1349.64,1447.92,1060.29,1323.17,965.4,1748.74,2038.52,1917.87,2141.36,1389.78,1063.44,994.61,1011.25,719.92,1195.11,767.75,725.9,691.02,582.23,452.77,670.09,650.18,494.62,1625.75,1621.76,1697.88,1112.76,1869.71,1871.5,785.98,1383.93,585.31,655.91,700.97,929.74,906.59,507.69,432.1,509.88,594.21,474.7,492.07,364.22,349.36,422.59,547.5,350.49,332.75,356.57,431.62,384.5,553.98,305.27,428.22,651.45,467.5,330.4,243.26,304.55,527.63,449.82
"CD19",164.2,195.74,162.76,87.8,206.53,180.3,113.03,178.56,54.13,160.57,125.52,129.7,106.03,53.56,162.57,102.87,98.26,92.17,49.51,139.8,87.88,53.12,76.07,50.93,90.27,33.91,124.64,107.88,132.25,126.96,245.91,246.73,206.67,80.05,44.58,56.66,111.28,152.49,120.84,48.53,34.04,23.1,53.58,107.58,56.35,39.19,124.27,59.76,85.17,209.37,140.3,318.15,98.25,129.91,256.44,211.76,161.46,60.99,120.89,125.83,94.65,161.53,134.32,132.85,100.62,96.02,150.18,90.24,138.74,95.93,126.77
"CD1A",61.25,42.26,92.04,54.46,84.23,60.1,61.17,67.52,46.66,80.28,49.01,41.27,77.37,56.46,52.52,27,20,42.54,20,57.56,20,20,20,20,20,20,20,59.77,44.65,48.95,40.22,38.58,37.15,20,30.65,20,20,20,20,20,20,21.39,20,40.34,21.13,20,20,22.98,20,20,20,20,23.16,50.45,20,20,76.79,55.64,70.83,84.86,69.01,54.6,66.48,65.01,41.92,77.13,70.08,66.7,73.32,55.64,62.36
"CD1B",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,42.54,71.79,20,20,20,98.44,20,26.49,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
